Location,Beds,Price,Area,Type
Vijayanagar,4,10000000,2200,House
Vijayanagar,2,6400000,1200,House
 Vijayanagar,3,15500000,1300,House
 Hulikere,2,4300000,1240,House
 Vijayanagar,3,12000000,2000,House
 BM Shree Nagar,2,8500000,2320,House
 Yadavagiri,2,15000000,1134,House
 Vani Vilas Mohalla,7,1300000,600,House
 Sathgalli,4,7000000,600,House
 Chamrajpura,2,8000000,819,House
 Bogadi,3,25000000,-999999,House
 Bogadi,3,25000000,-999999,House
 Vidayaranya Puram,2,4500000,920,House
 Kuvempunagar,3,7400000,1350,House
 Sriramapura,3,11500000,2000,House
Sriramapura,3,10340000,2400,House
 Somanatha Nagar,3,10100000,1320,House
 Vidayaranya Puram,2,4200000,910,House
Rajiv Nagar,3,16000000,2000,House
 Rajarajeshwari Nagar,2,5000000,1200,House
 Kuvempunagar,3,9100000,1505,House
 Kuvempunagar,3,9100000,1505,House
 Vijayanagar,3,5800000,2400,House
Deepanagar,3,35000000,3400,House
 Kuvempunagar,2,7000000,1010,House
Elivala,2,4000000,1200,House
 Hebbal 1st Stage,1,3700000,450,House
 Kesare,2,14500000,2700,House
 Hebbal 1st Stage,1,3700000,450,House
 Hebbal 1st Stage,1,3700000,458,House
 Siddhartha Layout,2,7500000,1480,House
 Vani Vilas Mohalla,3,8500000,1463,House
JSS Layout,7,25000000,5500,House
JSS Layout,6,25000000,2400,House
 J P Nagar,2,5000000,1200,House
 Elivala,2,5300000,1200,House
Rajarajeshwari Nagar,3,9500000,1280,House
Rajiv Nagar,2,7000000,1200,House
Hebbal 2nd Stage,3,12000000,1200,House
Harohalli,2,2690000,800,House
Saraswathipuram,3,22000000,2400,House
 Hulikere,3,12000000,4000,House
 Vijayanagar,2,5800000,962,House
 Ilavala Hobli,3,6000000,1323,House
 Bogadi,3,11000000,1200,House
 BEML Nagar,4,25000000,4618,House
 Sriramapura,3,5500000,1200,House
 Dattagalli Third Stage,3,6550000,1300,House
Rajiv Nagar,5,22500000,2400,House
 Vijayanagar,2,5300000,1145,House
Rajiv Nagar,2,4500000,600,House
 Ramakrishnanagar,3,20000000,1900,House
Vijayanagar,4,5800000,1000,House
Basavanahalli,4,5800000,1000,House
 Vijayanagar,3,25900000,2300,House
Hulikere,2,4500000,2060,House
Rajendra Nagar,3,9900000,1500,House
 Vijayanagar,3,11000000,1200,House
Dattagalli,4,12000000,1200,House
Niveditha Nagar,4,12000000,1200,House
Rajiv Nagar,2,3300000,600,House
Dattagalli,3,14000000,1200,House
