Location,Beds,Price,Area,PricePerSqft
JP Nagar,2,70.0,1200.0,0.06
JP Nagar,2,95.0,1750.0,0.05
Jayalakshmipuram,3,120.0,1800.0,0.07
Jayalakshmipuram,3,120.0,1800.0,0.07
Jayalakshmipuram,2,64.0,1000.0,0.06
Jayalakshmipuram,3,120.0,1700.0,0.07
Jayalakshmipuram,3,120.0,1700.0,0.07
 KC Layout,10,290.0,7200.0,0.04
Kesare,8,72.0,3000.0,0.02
Kuvempunagar,2,64.0,1010.0,0.06
Kuvempunagar,3,92.0,1505.0,0.06
Kuvempunagar,2,68.0,1128.0,0.06
Kuvempunagar,3,74.0,1350.0,0.05
Kuvempunagar,3,91.0,1505.0,0.06
Kuvempunagar,3,91.0,1505.0,0.06
Kuvempunagar,2,70.0,1010.0,0.07
Kuvempunagar,4,215.0,3600.0,0.06
Kuvempunagar,1,42.0,720.0,0.06
Kuvempunagar,2,42.0,600.0,0.07
Kuvempunagar,2,45.0,640.0,0.07
Kuvempunagar,2,45.0,640.0,0.07
Lakshmipuram,2,60.0,1300.0,0.05
Lakshmipuram,2,54.0,1225.0,0.04
Lakshmipuram,2,50.0,1120.0,0.04
Ramakrishnanagar,5,320.0,3500.0,0.09
Ramakrishnanagar,4,109.99,1200.0,0.09
Ramakrishnanagar,4,110.0,1200.0,0.09
Ramakrishnanagar,4,115.0,1200.0,0.1
 Saraswathipuram,2,62.0,1000.0,0.06
 Saraswathipuram,3,200.0,3055.0,0.07
 Saraswathipuram,3,200.0,3055.0,0.07
 Saraswathipuram,3,200.0,3055.0,0.07
Siddarthanagar,2,52.0,1100.0,0.05
Siddarthanagar,2,52.0,1100.0,0.05
Siddarthanagar,2,75.0,1480.0,0.05
Somanatha Nagar,3,105.0,2000.0,0.05
Somanatha Nagar,2,50.0,1349.0,0.04
Somanatha Nagar,2,50.0,1349.0,0.04
Srirampura,7,160.0,3400.0,0.05
Srirampura,3,66.0,1354.0,0.05
Srirampura,2,65.0,1200.0,0.05
Srirampura,3,115.0,2000.0,0.06
Srirampura,3,55.0,1200.0,0.05
Srirampura,2,45.0,600.0,0.08
Srirampura,3,130.0,2400.0,0.05
Srirampura,2,75.0,1000.0,0.08
Srirampura,2,65.0,1200.0,0.05
Srirampura,2,78.0,1200.0,0.06
Srirampura,3,125.0,2400.0,0.05
Srirampura,2,75.0,1200.0,0.06
VV Mohalla,2,75.0,1165.0,0.06
VV Mohalla,2,75.0,1165.0,0.06
VV Mohalla,2,72.0,1200.0,0.06
Vidyaranyapuram,2,56.0,1280.0,0.04
Vidyaranyapuram,2,47.0,920.0,0.05
Vidyaranyapuram,3,85.0,2000.0,0.04
Vidyaranyapuram,2,45.0,920.0,0.05
Vidyaranyapuram,2,42.0,910.0,0.05
Vidyaranyapuram,2,44.0,974.0,0.05
Vijayanagar,2,72.0,1450.0,0.05
Vijayanagar,2,175.0,3200.0,0.05
Vijayanagar,2,58.0,1056.0,0.05
Vijayanagar,2,65.0,1160.0,0.06
Vijayanagar,3,230.0,2925.0,0.08
Vijayanagar,2,62.0,1100.0,0.06
Vijayanagar,2,75.0,1188.0,0.06
Vijayanagar,2,155.0,1800.0,0.09
Vijayanagar,3,125.0,2150.0,0.06
Vijayanagar,1,85.0,1300.0,0.07
Vijayanagar,5,400.0,6500.0,0.06
Vijayanagar,2,52.0,600.0,0.09
Vijayanagar,3,120.0,2000.0,0.06
Vijayanagar,3,120.0,2000.0,0.06
Vijayanagar,2,58.0,962.0,0.06
Vijayanagar,2,53.0,1145.0,0.05
Vijayanagar,3,110.0,1200.0,0.09
Vijayanagar,4,380.0,5500.0,0.07
Vijayanagar,3,150.0,1800.0,0.08
Vijayanagar,3,385.0,4800.0,0.08
Vijayanagar,2,58.0,1174.0,0.05
Vijayanagar,2,85.0,1100.0,0.08
Vijayanagar,3,72.0,1150.0,0.06
Vijayanagar,2,85.0,1100.0,0.08
Vijayanagar,4,145.0,2400.0,0.06
Vijayanagar,3,58.0,1200.0,0.05
Vijayanagar,2,55.0,790.0,0.07
Vijayanagar,3,135.0,2200.0,0.06
Vijayanagar,2,110.0,1200.0,0.09
Vijayanagar,3,56.0,1250.0,0.04
Vijayanagar,2,50.0,900.0,0.06
 Vivekananda Nagar,3,120.0,2000.0,0.06
 Vivekananda Nagar,4,130.0,2400.0,0.05
 Vivekananda Nagar,2,50.0,600.0,0.08
Yadavagiri,3,110.0,1650.0,0.07
Yadavagiri,3,118.0,1950.0,0.06
Yadavagiri,2,60.0,1210.0,0.05
BEML,3,64.86,972.0,0.07
BEML,3,100.0,2000.0,0.05
BEML,3,135.0,2400.0,0.06
BEML,2,54.2,1098.0,0.05
BEML,2,69.0,1200.0,0.06
BEML,3,128.0,2200.0,0.06
Bannimantap,1,32.0,420.0,0.08
Bannimantap,3,58.87,950.0,0.06
Basavanahalli,4,85.0,1200.0,0.07
Basavanahalli,2,85.0,1200.0,0.07
Chamarajapuram,5,75.0,2000.0,0.04
Chamarajapuram,2,45.0,1000.0,0.04
Dattagalli,3,100.0,1399.0,0.07
Dattagalli,4,180.0,3000.0,0.06
Dattagalli,3,95.0,2200.0,0.04
Dattagalli,3,110.0,2300.0,0.05
Dattagalli,3,67.0,1100.0,0.06
Dattagalli,3,150.0,2600.0,0.06
Dattagalli,3,67.0,1100.0,0.06
Dattagalli,4,120.0,1200.0,0.1
Dattagalli,3,140.0,1200.0,0.12
Dattagalli,3,62.0,1200.0,0.05
Dattagalli,3,100.0,2200.0,0.05
Dattagalli,3,70.0,1150.0,0.06
Dattagalli,3,70.0,1300.0,0.05
Dattagalli,4,70.0,1200.0,0.06
Dattagalli,3,120.0,1600.0,0.08
Deepanagar,3,72.53,1204.0,0.06
Yelawala,2,40.0,1200.0,0.03
Yelawala,2,42.0,1000.0,0.04
Fort Mohalla,2,70.0,830.0,0.08
Fort Mohalla,2,75.0,820.0,0.09
Gokulam,3,115.5,1220.0,0.09
Gokulam,3,99.0,1200.0,0.08
Hebbal,2,47.0,600.0,0.08
Hebbal,4,135.0,2200.0,0.06
Hebbal,3,95.0,1200.0,0.08
Hebbal,3,70.0,1200.0,0.06
Hebbal,2,45.0,625.0,0.07
Hinkal,3,70.0,1700.0,0.04
Hinkal,3,52.5,1000.0,0.05
Hinkal,3,54.4,1200.0,0.05
Hulikere,2,36.29,750.0,0.05
Hulikere,2,52.0,1200.0,0.04
Huyilalu,3,182.0,4500.0,0.04
Yelawala,3,44.03,1070.0,0.04
Yelawala,2,115.0,2400.0,0.05
Yelawala,4,200.0,4000.0,0.05
Yelawala,2,60.0,1300.0,0.05
Yelawala,2,45.0,1185.0,0.04
Yelawala,1,30.0,700.0,0.04
Yelawala,2,31.0,750.0,0.04
Yelawala,3,42.0,1070.0,0.04
JP Nagar,6,140.0,2400.0,0.06
JP Nagar,3,82.0,1200.0,0.07
JP Nagar,3,134.4,2400.0,0.06
JP Nagar,2,65.0,1200.0,0.05
JP Nagar,2,50.0,750.0,0.07
JP Nagar,2,85.0,1200.0,0.07
JP Nagar,2,85.0,1200.0,0.07
JP Nagar,3,80.0,1200.0,0.07
JP Nagar,2,95.0,1750.0,0.05
JSS Layout,4,120.0,2800.0,0.04
JSS Layout,3,137.0,3000.0,0.05
JSS Layout,7,250.0,5500.0,0.05
Jayalakshmipuram,3,71.5,1318.0,0.05
Jayalakshmipuram,2,60.0,1176.0,0.05
Jayalakshmipuram,2,75.0,1500.0,0.05
Jayalakshmipuram,2,68.0,1076.0,0.06
Jayalakshmipuram,3,56.93,1150.0,0.05
Jayalakshmipuram,2,71.5,1300.0,0.06
Kalyanagiri,5,70.0,2040.0,0.03
Kesare,2,45.0,600.0,0.08
Kesare,3,250.0,3300.0,0.08
Kesare,2,90.0,1500.0,0.06
Kesare,2,42.0,600.0,0.07
Lakshmipuram,2,60.0,1300.0,0.05
Lakshmipuram,2,60.0,1300.0,0.05
Madagalli,3,70.01,1200.0,0.06
Madagalli,3,70.0,1200.0,0.06
Metagalli,4,81.5,1200.0,0.07
Metagalli,5,100.0,3200.0,0.03
Metagalli,3,119.99,3250.0,0.04
Metagalli,2,25.0,600.0,0.04
Nanjangud,2,60.0,1200.0,0.05
Nanjangud,2,50.0,900.0,0.06
Niveditha Nagar,4,120.0,1200.0,0.1
Niveditha Nagar,3,120.0,1200.0,0.1
Niveditha Nagar,3,120.0,1200.0,0.1
Rajarajeshwari Nagar,3,95.0,1280.0,0.07
