location,beds,price,area
2 BHK Residential Apartment in Bogadi,"2 BHK
2 Baths","₹ 46 Lac
₹ 5,169/sq.ft.","890 sq.ft.
(83 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Lakshmipuram,"2 BHK
2 Baths","₹ 56 Lac
₹ 6,706/sq.ft.","835 sq.ft.
(78 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Srirampura,"2 BHK
2 Baths","₹ 72 Lac
₹ 6,557/sq.ft.","1,098 sq.ft.
(102 sq.m.) Carpet Area"
3 Bedroom Independent House in Hulikere,"3 BHK
3 Baths","₹ 73 Lac
₹ 8,111/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area"
3 Bedroom Independent House in Gayathripuram,"3 BHK
3 Baths","₹ 1.65 Cr
₹ 8,250/sq.ft.","2,000 sq.ft.
(186 sq.m.) Plot Area"
3 BHK Independent Builder Floor in Yelwala,"3 BHK
2 Baths","₹ 54 Lac
₹ 4,153/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Vijaynagar,"2 BHK
2 Baths","₹ 65 Lac
₹ 4,814/sq.ft.","1,350 sq.ft.
(125 sq.m.) Super built-up Area"
7 Bedroom Independent House in Jss Layout,"7 BHK
5 Baths","₹ 2.5 Cr
₹ 4,310/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
5 Bedroom Independent House in dwarakanagara,"5 BHK
3 Baths","₹ 1.3 Cr
₹ 10,833/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 Bedroom Independent House in Shetty halli Road,"2 BHK
1 Bath","₹ 1.25 Cr
₹ 6,250/sq.ft.","2,000 sq.ft.
(186 sq.m.) Plot Area"
5 BHK Independent Builder Floor in Rajivnagar,"5 BHK
4 Baths","₹ 1.95 Cr
₹ 9,750/sq.ft.","2,000 sq.ft.
(186 sq.m.) Carpet Area"
1 BHK Residential Apartment in Jayalakshmipuram,"1 BHK
1 Bath","₹ 52 Lac
₹ 7,222/sq.ft.","720 sq.ft.
(67 sq.m.) Super built-up Area"
1 BHK Residential Apartment in Jayalakshmipuram,"1 BHK
1 Bath","₹ 46 Lac
₹ 7,222/sq.ft.","720 sq.ft.
(67 sq.m.) Super built-up Area"
2 Bedroom Independent House in Karunapuram,"2 BHK
2 Baths","₹ 1.56 Cr
₹ 6,500/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
5 Bedroom Independent House in nr mohalla,"5 BHK
5 Baths","₹ 7.22 Cr
₹ 4,998/sq.ft.","14,445 sq.ft.
(1342 sq.m.) Plot Area"
3 BHK Residential Apartment in Vishweshwara Nagar,"3 BHK
2 Baths","₹ 99.99 Lac
₹ 6,060/sq.ft.","1,650 sq.ft.
(153 sq.m.) Super built-up Area"
3 Bedroom Independent House in Subhash Nagar,"3 BHK
3 Baths","₹ 1.2 Cr
₹ 6,666/sq.ft.","1,800 sq.ft.
(167 sq.m.) Built-up Area"
3 Bedroom Independent House in Nanjangud,"3 BHK
2 Baths","₹ 68 Lac
₹ 5,833/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 Bedroom Independent House in Agrahara,"3 BHK
2 Baths","₹ 2.5 Cr
₹ 16,666/sq.ft.","1,500 sq.ft.
(139 sq.m.) Built-up Area"
2 BHK Independent Builder Floor in 4th Stage Vijayanagar,"2 BHK
2 Baths","₹ 70 Lac
₹ 8,750/sq.ft.","800 sq.ft.
(74 sq.m.) Carpet Area"
3 BHK Independent Builder Floor in Chamundeshwari Railway Layout,"3 BHK
3 Baths","₹ 1.05 Cr
₹ 4,375/sq.ft.","2,400 sq.ft.
(223 sq.m.) Super built-up Area"
4 BHK Independent Builder Floor in Zuari Garden City,"4 BHK
4 Baths","₹ 1.4 Cr
₹ 4,334/sq.ft.","3,230 sq.ft.
(300 sq.m.) Carpet Area"
2 BHK Residential Apartment in Bunnymantap,"2 BHK
2 Baths","₹ 48 Lac
₹ 6,000/sq.ft.","800 sq.ft.
(74 sq.m.) Carpet Area"
3 Bedroom Independent House in Hampapura,"3 BHK
3 Baths","₹ 70 Lac
₹ 5,833/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
,,,
3 Bedroom Independent House in Tirumakudalu Narasipura,"3 BHK
2 Baths","₹ 50 Lac
₹ 3,333/sq.ft.","1,500 sq.ft.
(139 sq.m.) Plot Area"
2 BHK Residential Apartment in Allanahalli Layout,"2 BHK
2 Baths","₹ 78 Lac
₹ 5,571/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area"
2 BHK Independent Builder Floor in Vijayanagar,"2 BHK
2 Baths","₹ 95 Lac
₹ 11,875/sq.ft.","800 sq.ft.
(74 sq.m.) Built-up Area"
4 BHK Independent Builder Floor in Allanahalli Layout,"4 BHK
4 Baths","₹ 95 Lac
₹ 791,666/sq.ft.","12 sq.ft.
(1 sq.m.) Super built-up Area"
1 BHK Independent Builder Floor in Mandi Mohalla,"1 BHK
1 Bath","₹ 98.85 Lac
₹ 189,440/sq.ft.","52 sq.ft.
(5 sq.m.) Super built-up Area"
3 BHK Independent Builder Floor in Vidyaranyapuram,"3 BHK
1 Bath","₹ 1.5 Cr
₹ 882,352/sq.ft.","17 sq.ft.
(2 sq.m.) Super built-up Area"
5 BHK Residential Apartment in J.P Nagar,"5 BHK
4 Baths","₹ 1.3 Cr
₹ 5,078/sq.ft.","2,560 sq.ft.
(238 sq.m.) Carpet Area"
4 Bedroom Independent House in Kalyanagiri,"4 BHK
5 Baths","₹ 1.35 Cr
₹ 6,250/sq.ft.","2,160 sq.ft.
(201 sq.m.) Plot Area"
7 Bedroom Independent House in Vijayanagar,"7 BHK
7 Baths","₹ 2.2 Cr
₹ 15,714/sq.ft.","1,400 sq.ft.
(130 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Lakshmikanthnagar,"2 BHK
1 Bath","₹ 47 Lac
₹ 7,833/sq.ft.","600 sq.ft.
(56 sq.m.) Super built-up Area"
8 Bedroom Independent House in Krishnarajasagara,"8 BHK
4 Baths","₹ 75.5 Lac
₹ 6,291/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 BHK Independent Builder Floor in Srinagara,"3 BHK
3 Baths","₹ 1 Cr
₹ 4,301/sq.ft.","2,325 sq.ft.
(216 sq.m.) Super built-up Area"
2 Bedroom Independent House in Hebbal,"2 BHK
2 Baths","₹ 12 Lac
₹ 1,000/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
1 Bedroom Independent House in J.P Nagar,"1 BHK
1 Bath","₹ 85.2 Lac
₹ 3,550/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
