location,beds1,beds2,price,area
"Deepanagar, Gaddige Road, Mysore",Motherland Kateel,"3, 3.5 BHK Villas",[],"{'value': 1200, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",Motherland Kalki,"2, 2.5, 3.5 BHK Villas",[],"{'value': 865, 'unit': 'sq.ft'}"
"Bannimantap, Mysore",Damden City Square,2 BHK Apartment,[],"{'value': 1170, 'unit': 'sq.ft'}"
"Avverahalli, Mysore",MMG VB City,"2, 3 BHK Villas",[],"{'value': 582, 'unit': 'sq.ft'}"
"Madagalli, Mysore",Motherland Crown Enclave,"2, 3 BHK Villas","[5899200, 7001280]","{'value': 1200, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",Sankalp Central Park,"2, 3 BHK Apartments","[7800000, 10814400]","{'value': 1288, 'unit': 'sq.ft'}"
"Hulikere, Mysore",Adventz Brindavan Serenity,2 BHK Apartment,"[3349200, 3629181]","{'value': 750, 'unit': 'sq.ft'}"
"Nanjangud, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[6000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Abhyodaya , Somanatha Nagar, Mysore",2 BHK Apartment,1349 sq.ft built up area ,[5000000],"{'value': 1349, 'unit': 'sq.ft'}"
"Vijay Nagar 2nd Stage, Vijayanagar, Mysore",2 BHK Independent House,3200 sq.ft built up area ,[17500000],"{'value': 3200, 'unit': 'sq.ft'}"
"Deepanagar, Gaddige Road, Mysore",Brigade Palmgrove Villas,"4, 4.5 BHK Villas","[35900000, 37401793]","{'value': 5230, 'unit': 'sq.ft'}"
"JSS Layout, Mysore",4 BHK Independent House,2800 sq.ft built up area ,[12000000],"{'value': 2800, 'unit': 'sq.ft'}"
"Sowparnika Blue Bells, Vijay Nagar 3rd Stage, Vijayanagar, Mysore",2 BHK Apartment,1056 sq.ft built up area ,[5800000],"{'value': 1056, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",5 BHK Villa,1200 sq.ft built up area ,[18500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Gagan Clear Waters, Bank Employees' Colony, Bogadi, Mysore",2 BHK Apartment,989 sq.ft built up area ,[6250000],"{'value': 989, 'unit': 'sq.ft'}"
"Sri dhara appatment, Vidayaranya Puram, Mysore",1 RK Apartment,832 sq.ft built up area ,[3800000],"{'value': 832, 'unit': 'sq.ft'}"
"Huyilalu, Mysore",3 BHK Independent House,4500 sq.ft built up area ,[18200000],"{'value': 4500, 'unit': 'sq.ft'}"
"Mandakalli, Mysore",3 BHK Villa,2400 sq.ft built up area ,[13000000],"{'value': 2400, 'unit': 'sq.ft'}"
"Metagalli, Mysore",Brigade Symphony,"2, 3, 4 BHK Apartments","[7600000, 18434483]","{'value': 1400, 'unit': 'sq.ft'}"
"Tapovan Saraswathi, Vidayaranya Puram, Mysore",2 BHK Apartment,1280 sq.ft built up area ,[5600000],"{'value': 1280, 'unit': 'sq.ft'}"
"Vidayaranya Puram, H D Kote Road, Mysore",Mittal Pride,"2, 3 BHK Apartments","[3723000, 5355000]","{'value': 1095, 'unit': 'sq.ft'}"
"Mahesh G Govianu Gurikar Luxuria, Ittige Gudu, Mysore",3 BHK Apartment,1800 sq.ft built up area ,[11700000],"{'value': 1800, 'unit': 'sq.ft'}"
"Yaraganahalli, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[11000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Lakshmikanth Nagar, Hebbal 1st Stage, Mysore",3 BHK Apartment,1282 sq.ft built up area ,[7200000],"{'value': 1282, 'unit': 'sq.ft'}"
"Brigade Sparkle, Vidayaranya Puram, Mysore",2 BHK Apartment,920 sq.ft built up area ,[4700000],"{'value': 920, 'unit': 'sq.ft'}"
"Kesare, Mysore",4 BHK Independent House,1728 sq.ft built up area ,[35000000],"{'value': 1728, 'unit': 'sq.ft'}"
"Mandi Mohalla, Mysore",1 BHK Independent House,300 sq.ft built up area ,[7500000],"{'value': 300, 'unit': 'sq.ft'}"
"Prithvi Castles, Siddhartha Layout, Mysore",2 BHK Apartment,1100 sq.ft built up area ,[5200000],"{'value': 1100, 'unit': 'sq.ft'}"
"Tapovan terraces , J P Nagar, Mysore",2 BHK Apartment,1500 sq.ft built up area ,[5500000],"{'value': 1500, 'unit': 'sq.ft'}"
"Hulikere, Mysore",Adventz Zuari Garden City,"2, 3, 4 BHK Apartments","[4042500, 7705500]","{'value': 1225, 'unit': 'sq.ft'}"
"Not Available, Kukkarahalli, Saraswathipuram, Mysore",3 BHK Apartment,3055 sq.ft built up area ,[20000000],"{'value': 3055, 'unit': 'sq.ft'}"
"Not Available, Kukkarahalli, Saraswathipuram, Mysore",3 BHK Apartment,3055 sq.ft built up area ,[20000000],"{'value': 3055, 'unit': 'sq.ft'}"
"Hulikere, Mysore",2 BHK Apartment,2060 sq.ft built up area ,[4500000],"{'value': 2060, 'unit': 'sq.ft'}"
"Not Available, Kukkarahalli, Saraswathipuram, Mysore",3 BHK Apartment,3055 sq.ft built up area ,[20000000],"{'value': 3055, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",4 BHK Independent House,3000 sq.ft built up area ,[18000000],"{'value': 3000, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",2 BHK Independent House,2400 sq.ft built up area ,[11500000],"{'value': 2400, 'unit': 'sq.ft'}"
"Bank Employees' Colony, Bogadi, Mysore",4 BHK Villa,2000 sq.ft built up area ,[12000000],"{'value': 2000, 'unit': 'sq.ft'}"
"Chinmayi Nilaya, Ilavala Hobli, Mysore",10 BHK Independent House,5600 sq.ft built up area ,[20000000],"{'value': 5600, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4700000],"{'value': 600, 'unit': 'sq.ft'}"
"RAJARAJESHWARI nagar , Varuna, Mysore",6 BHK Independent House,2400 sq.ft built up area ,[22500000],"{'value': 2400, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[9500000],"{'value': 2200, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",2 BHK Independent House,1800 sq.ft built up area ,[16000000],"{'value': 1800, 'unit': 'sq.ft'}"
"Inayat Ashiyana, Kesare, Mysore",8 BHK Apartment,3000 sq.ft built up area ,[7200000],"{'value': 3000, 'unit': 'sq.ft'}"
"Kesare, Mysore",1 RK Villa,1750 sq.ft built up area ,[7200000],"{'value': 1750, 'unit': 'sq.ft'}"
"Kalyanagiri, Mysore",3 BHK Villa,1130 sq.ft built up area ,[6000000],"{'value': 1130, 'unit': 'sq.ft'}"
"Lakshmikanth Nagar, Hebbal 1st Stage, Mysore",2 BHK Independent House,832 sq.ft built up area ,[4500000],"{'value': 832, 'unit': 'sq.ft'}"
"Foundations Silver Springs, Ilavala Hobli, Mysore",2 BHK Apartment,1300 sq.ft built up area ,[5000000],"{'value': 1300, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[17500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",4 BHK Villa,1200 sq.ft built up area ,[17500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Palatine Elite , Yadavagiri, Mysore",3 BHK Apartment,1950 sq.ft built up area ,[11800000],"{'value': 1950, 'unit': 'sq.ft'}"
"Udayagiri, Mysore",3 BHK Independent House,1850 sq.ft built up area ,[14000000],"{'value': 1850, 'unit': 'sq.ft'}"
