location,beds1,beds2,price,area
"Temple Bells, Lingambudhi Lake, Ramakrishnanagar, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[11499600],"{'value': 1200, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[15000000],"{'value': 2900, 'unit': 'sq.ft'}"
"Brigade Sparkle, Vidayaranya Puram, Mysore",2 BHK Apartment,974 sq.ft built up area ,[4400000],"{'value': 974, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[15000000],"{'value': 2900, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[16000000],"{'value': 2900, 'unit': 'sq.ft'}"
"Kuvempu Nagar 1st Stage, Kuvempunagar, Mysore",4 BHK Independent House,3600 sq.ft built up area ,[21500000],"{'value': 3600, 'unit': 'sq.ft'}"
"Palm woods , Sardar Vallabh Bhai Patel Nagara, Mysore",3 BHK Independent House,2100 sq.ft built up area ,[9500000],"{'value': 2100, 'unit': 'sq.ft'}"
"Kuvempu Nagar m block Mysore , Kuvempu Nagar 2nd Stage, Kuvempunagar, Mysore",3 BHK Independent House,600 sq.ft built up area ,[6700000],"{'value': 600, 'unit': 'sq.ft'}"
"Vijay Nagar 2nd Stage, Vijayanagar, Mysore",3 BHK Independent House,1800 sq.ft built up area ,[15000000],"{'value': 1800, 'unit': 'sq.ft'}"
"Elivala, Mysore",2 BHK Independent House,1000 sq.ft built up area ,[4200000],"{'value': 1000, 'unit': 'sq.ft'}"
"Akruthi layout, Block A, J P Nagar, Mysore",2 BHK Independent House,1300 sq.ft built up area ,[7200000],"{'value': 1300, 'unit': 'sq.ft'}"
"Akruthi layout, Siddalingeshwara Layout 1st Stage, J P Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[7100000],"{'value': 1200, 'unit': 'sq.ft'}"
"Railway layout j p nagar, Siddalingeshwara Layout 1st Stage, J P Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[7200000],"{'value': 1200, 'unit': 'sq.ft'}"
"Gurukula layout, Block A, J P Nagar, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[11000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",3 BHK Independent House,650 sq.ft built up area ,[7800000],"{'value': 650, 'unit': 'sq.ft'}"
"Silicon Valley Residential Layout, Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[5499000],"{'value': 1200, 'unit': 'sq.ft'}"
"Bannimantap, Mysore",1 BHK Independent House,420 sq.ft built up area ,[3200000],"{'value': 420, 'unit': 'sq.ft'}"
"Vijay Nagar 3rd Stage, Vijayanagar, Mysore",3 BHK Independent House,4800 sq.ft built up area ,[38500000],"{'value': 4800, 'unit': 'sq.ft'}"
"Railway layout J P NAGAR, J P Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[7000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[6900000],"{'value': 1200, 'unit': 'sq.ft'}"
"Gokulam 3rd Stage, Gokulam, Mysore",4 BHK Independent House,796 sq.ft built up area ,[6500000],"{'value': 796, 'unit': 'sq.ft'}"
"Bannimantap, Mysore",1 BHK Independent House,250 sq.ft built up area ,[3500000],"{'value': 250, 'unit': 'sq.ft'}"
"Aravinda Nagar, Vivekananda Nagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[5000000],"{'value': 600, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[8200000],"{'value': 1200, 'unit': 'sq.ft'}"
"Aasthik Ample Homes, Vijayanagar 1st Stage, Vijayanagar, Mysore",2 BHK Apartment,1174 sq.ft built up area ,[5800000],"{'value': 1174, 'unit': 'sq.ft'}"
"Kesare, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4200000],"{'value': 600, 'unit': 'sq.ft'}"
"Bank Employees' Colony, Bogadi, Mysore",3 BHK Independent House,1300 sq.ft built up area ,[6700000],"{'value': 1300, 'unit': 'sq.ft'}"
"JUSTNEED, Vani Vilas Mohalla, Mysore",2 BHK Apartment,1200 sq.ft built up area ,[7200000],"{'value': 1200, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Independent House,960 sq.ft built up area ,[5000000],"{'value': 960, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[13440000],"{'value': 2400, 'unit': 'sq.ft'}"
"Rajiv Nagar, Mysore",6 BHK Independent House,4800 sq.ft built up area ,[18000000],"{'value': 4800, 'unit': 'sq.ft'}"
"individual , Jayanagar, Kuvempunagar, Mysore",1 BHK Independent House,720 sq.ft built up area ,[4200000],"{'value': 720, 'unit': 'sq.ft'}"
"Bogadi 2nd Stage, Bogadi, Mysore",10 BHK Independent House,3500 sq.ft built up area ,[14500000],"{'value': 3500, 'unit': 'sq.ft'}"
"Bogadi 2nd Stage, Bogadi, Mysore",10 BHK Independent House,4000 sq.ft built up area ,[14500000],"{'value': 4000, 'unit': 'sq.ft'}"
"Benchmark Urbana, Jayalakshmipuram, Mysore",3 BHK Apartment,1800 sq.ft built up area ,[12000000],"{'value': 1800, 'unit': 'sq.ft'}"
"Kukkarahalli, Saraswathipuram, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[18000000],"{'value': 2400, 'unit': 'sq.ft'}"
"JUSTNEED, Jayalakshmipuram, Mysore",2 BHK Apartment,1200 sq.ft built up area ,[6500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Metagalli, Mysore",3 BHK Villa,3250 sq.ft built up area ,[11999000],"{'value': 3250, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",4 BHK Independent House,2200 sq.ft built up area ,[13500000],"{'value': 2200, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[6500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vanivillas society , Vijay Nagar 2nd Stage, Vijayanagar, Mysore",6 BHK Independent House,3700 sq.ft built up area ,[12000000],"{'value': 3700, 'unit': 'sq.ft'}"
"Vijayanagar 4th stage, Vijayanagar, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[10500000],"{'value': 2400, 'unit': 'sq.ft'}"
"Hebbal 2nd stage , Hebbal 2nd Stage, Mysore",2 BHK Independent House,2750 sq.ft built up area ,[12500000],"{'value': 2750, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",3 BHK Independent House,600 sq.ft built up area ,[5200000],"{'value': 600, 'unit': 'sq.ft'}"
"3rd stage vijayanagar , Vijay Nagar 3rd Stage, Vijayanagar, Mysore",3 BHK Independent House,600 sq.ft built up area ,[7500000],"{'value': 600, 'unit': 'sq.ft'}"
"Vijayanagar 1st Stage, Vijayanagar, Mysore",2 BHK Independent House,1100 sq.ft built up area ,[8500000],"{'value': 1100, 'unit': 'sq.ft'}"
"Temple view apartments , Vidayaranya Puram, Mysore",3 BHK Apartment,1675 sq.ft built up area ,[5200000],"{'value': 1675, 'unit': 'sq.ft'}"
"Metagalli, Mysore",2 BHK Independent House,600 sq.ft built up area ,[2500000],"{'value': 600, 'unit': 'sq.ft'}"
"Rajiv Nagar A zone, Rajiv Nagar, Mysore",2 BHK Independent House,1350 sq.ft built up area ,[4500000],"{'value': 1350, 'unit': 'sq.ft'}"
"Belvata Gram, Belvata, Mysore",2 BHK Independent House,600 sq.ft built up area ,[2500000],"{'value': 600, 'unit': 'sq.ft'}"
"Sathagalli Layout, Mysore",8 BHK Independent House,5000 sq.ft built up area ,[19000000],"{'value': 5000, 'unit': 'sq.ft'}"
"Hebbal 1st Stage, Mysore",1 BHK Independent House,920 sq.ft built up area ,[5000000],"{'value': 920, 'unit': 'sq.ft'}"
"Theju corner vijayanagar 4th stage, Vijayanagar, Mysore",3 BHK Independent House,1150 sq.ft built up area ,[7200000],"{'value': 1150, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[10000000],"{'value': 2200, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[9500000],"{'value': 1200, 'unit': 'sq.ft'}"
" Temple View, Vidayaranya Puram, Mysore",3 BHK Apartment,1700 sq.ft built up area ,[5200000],"{'value': 1700, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",5 BHK Independent House,2800 sq.ft built up area ,[14000000],"{'value': 2800, 'unit': 'sq.ft'}"
"Vijay Nagar 3rd Stage, Vijayanagar, Mysore",2 BHK Independent House,1100 sq.ft built up area ,[8500000],"{'value': 1100, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",2 BHK Independent House,750 sq.ft built up area ,[5000000],"{'value': 750, 'unit': 'sq.ft'}"
"Rajiv Nagar, Mysore",6 BHK Apartment,3040 sq.ft built up area ,[14500000],"{'value': 3040, 'unit': 'sq.ft'}"
"Vijayanagar 4th stage 2nd phase Mysore, Vijayanagar, Mysore",4 BHK Independent House,2400 sq.ft built up area ,[14500000],"{'value': 2400, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[6900000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vijayanagar 4th stage 2nd phase, Vijayanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[6300000],"{'value': 600, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[8500000],"{'value': 1200, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[8500000],"{'value': 1200, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",4 BHK Independent House,600 sq.ft built up area ,[5800000],"{'value': 600, 'unit': 'sq.ft'}"
"2pace, Vijayanagar, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[5800000],"{'value': 1200, 'unit': 'sq.ft'}"
"Hinkal, Mysore",3 BHK Apartment,1700 sq.ft built up area ,[7000000],"{'value': 1700, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",2 BHK Apartment,1100 sq.ft built up area ,[5200000],"{'value': 1100, 'unit': 'sq.ft'}"
"Siddhartha Layout, Mysore",4 BHK Independent House,2300 sq.ft built up area ,[11500000],"{'value': 2300, 'unit': 'sq.ft'}"
"Srinivasa Srirampura 2nd Stage, BEML Nagar, Mysore",3 BHK Independent House,600 sq.ft built up area ,[6000000],"{'value': 600, 'unit': 'sq.ft'}"
"house for sale, Dattagalli Third Stage, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[9000000],"{'value': 2400, 'unit': 'sq.ft'}"
"Kuvempu Nagar 1st Stage, Kuvempunagar, Mysore",4 BHK Independent House,4500 sq.ft built up area ,[16000000],"{'value': 4500, 'unit': 'sq.ft'}"
"Sharadadevinagar, Sharadadevi Nagar, Mysore",4 BHK Independent House,525 sq.ft built up area ,[3300000],"{'value': 525, 'unit': 'sq.ft'}"
"Aravinda Nagar, Vivekananda Nagar, Mysore",2 BHK Independent House,1800 sq.ft built up area ,[6500000],"{'value': 1800, 'unit': 'sq.ft'}"
"Gokulam 3rd Stage, Gokulam, Mysore",4 BHK Independent House,2700 sq.ft built up area ,[20000000],"{'value': 2700, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[7000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",4 BHK Independent House,1100 sq.ft built up area ,[6300000],"{'value': 1100, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,1150 sq.ft built up area ,[7000000],"{'value': 1150, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",2 BHK Independent House,1170 sq.ft built up area ,[4900000],"{'value': 1170, 'unit': 'sq.ft'}"
"Vijay Nagar 2nd Stage, Vijayanagar, Mysore",2 BHK Independent House,790 sq.ft built up area ,[5500000],"{'value': 790, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[6500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",4 BHK Independent House,2350 sq.ft built up area ,[13000000],"{'value': 2350, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",3 BHK Independent House,1175 sq.ft built up area ,[6400000],"{'value': 1175, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",2 BHK Independent House,650 sq.ft built up area ,[5000000],"{'value': 650, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",4 BHK Independent House,1100 sq.ft built up area ,[7000000],"{'value': 1100, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,1300 sq.ft built up area ,[7000000],"{'value': 1300, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",2 BHK Independent House,625 sq.ft built up area ,[4500000],"{'value': 625, 'unit': 'sq.ft'}"
"Allanahalli Layout, Alanahalli Village, Mysore",2 BHK Independent House,1250 sq.ft built up area ,[7400000],"{'value': 1250, 'unit': 'sq.ft'}"
"Hebbal 2nd Stage, Mysore",10 BHK Independent House,2500 sq.ft built up area ,[13000000],"{'value': 2500, 'unit': 'sq.ft'}"
"JUSTNEED , Jayalakshmipuram, Mysore",2 BHK Apartment,1000 sq.ft built up area ,[6400000],"{'value': 1000, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[8000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Hulikere, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[5200000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",3 BHK Villa,650 sq.ft built up area ,[6600000],"{'value': 650, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4500000],"{'value': 600, 'unit': 'sq.ft'}"
"Building , 2nd Stage, Sriramapura, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[13000000],"{'value': 2400, 'unit': 'sq.ft'}"
"JUSTNEED , Vijay Nagar 2nd Stage, Vijayanagar, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[13500000],"{'value': 2200, 'unit': 'sq.ft'}"
"Nehsara Apartment, Jayalakshmipuram, Mysore",3 BHK Apartment,1800 sq.ft built up area ,[9000000],"{'value': 1800, 'unit': 'sq.ft'}"
"Vijayanagar 4th stage, Vijayanagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[11000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[7000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Building , Marase, Mysore",8 BHK Independent House,3800 sq.ft built up area ,[16000000],"{'value': 3800, 'unit': 'sq.ft'}"
"Not Available, Dattagalli Third Stage, Mysore",2 BHK Independent House,600 sq.ft built up area ,[7000000],"{'value': 600, 'unit': 'sq.ft'}"
"Building , Kuvempu Nagar 1st Stage, Kuvempunagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4200000],"{'value': 600, 'unit': 'sq.ft'}"
"Brigade Palmgrove Villas, Deepanagar, Mysore",4 BHK Villa,3900 sq.ft built up area ,[40000000],"{'value': 3900, 'unit': 'sq.ft'}"
"JUSTNEED, Hebbal 2nd Stage, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[14500000],"{'value': 2000, 'unit': 'sq.ft'}"
"Nanjangud, Mysore",4 BHK Independent House,1150 sq.ft built up area ,[6800000],"{'value': 1150, 'unit': 'sq.ft'}"
"Rajiv Nagar, Mysore",3 BHK Independent House,1800 sq.ft built up area ,[8500000],"{'value': 1800, 'unit': 'sq.ft'}"
"Builders floors , Vijay Nagar 3rd Stage, Vijayanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[6300000],"{'value': 600, 'unit': 'sq.ft'}"
"Vijay Nagar 3rd Stage, Vijayanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[7500000],"{'value': 600, 'unit': 'sq.ft'}"
"Vijay Nagar 3rd Stage, Vijayanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[7500000],"{'value': 600, 'unit': 'sq.ft'}"
"JUSTJUSTNEED , Jayalakshmipuram, Mysore",3 BHK Apartment,1700 sq.ft built up area ,[12000000],"{'value': 1700, 'unit': 'sq.ft'}"
"JUSTNEED, Jayalakshmipuram, Mysore",3 BHK Apartment,1700 sq.ft built up area ,[12000000],"{'value': 1700, 'unit': 'sq.ft'}"
"Fort Mohalla, Mysore",2 BHK Independent House,830 sq.ft built up area ,[7000000],"{'value': 830, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",3 BHK Independent House,1100 sq.ft built up area ,[5800000],"{'value': 1100, 'unit': 'sq.ft'}"
"Telecom layout Bogadi, Bogadi 2nd Stage North, Mysore",3 BHK Independent House,1800 sq.ft built up area ,[11000000],"{'value': 1800, 'unit': 'sq.ft'}"
"Vinayaka enclave , Vijayanagar, Mysore",3 BHK Villa,1250 sq.ft built up area ,[5600000],"{'value': 1250, 'unit': 'sq.ft'}"
"Bank Employees' Colony, Bogadi, Mysore",5 BHK Independent House,3000 sq.ft built up area ,[13500000],"{'value': 3000, 'unit': 'sq.ft'}"
"LAKSHMIKANTHNAGAR , Hebbal Industrial Estate, Hebbal, Mysore",1 BHK Independent House,450 sq.ft built up area ,[3300000],"{'value': 450, 'unit': 'sq.ft'}"
"Hebbal, Hebbal 1st Stage, Mysore",1 BHK Independent House,600 sq.ft built up area ,[3100000],"{'value': 600, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",4 BHK Independent House,6000 sq.ft built up area ,[580000],"{'value': 6000, 'unit': 'sq.ft'}"
"Dattagalli, Dattagalli Third Stage, Mysore",2 BHK Independent House,700 sq.ft built up area ,[2500000],"{'value': 700, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[8200000],"{'value': 1200, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Independent House,1600 sq.ft built up area ,[8500000],"{'value': 1600, 'unit': 'sq.ft'}"
"Bank Employees' Colony, Bogadi, Mysore",5 BHK Independent House,1800 sq.ft built up area ,[17000000],"{'value': 1800, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",2 BHK Independent House,1750 sq.ft built up area ,[9500000],"{'value': 1750, 'unit': 'sq.ft'}"
"Block A, J P Nagar, Mysore",2 BHK Independent House,1750 sq.ft built up area ,[9500000],"{'value': 1750, 'unit': 'sq.ft'}"
"Vijay Nagar 4th stage, Vijayanagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[12500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[5250000],"{'value': 600, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",5 BHK Independent House,1200 sq.ft built up area ,[8000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Kalyanagiri, Mysore",5 BHK Independent House,2040 sq.ft built up area ,[7000000],"{'value': 2040, 'unit': 'sq.ft'}"
"Fort Mohalla, Mysore",2 BHK Independent House,820 sq.ft built up area ,[7500000],"{'value': 820, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[13500000],"{'value': 1200, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",3 BHK Independent House,3040 sq.ft built up area ,[12000000],"{'value': 3040, 'unit': 'sq.ft'}"
"Kuvempu Nagar 1st Stage, Kuvempunagar, Mysore",2 BHK Independent House,640 sq.ft built up area ,[4500000],"{'value': 640, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",5 BHK Villa,1500 sq.ft built up area ,[5200000],"{'value': 1500, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",2 BHK Independent House,1000 sq.ft built up area ,[7500000],"{'value': 1000, 'unit': 'sq.ft'}"
"Sri Keshava Krupa , Vidayaranya Puram, Mysore",3 BHK Villa,1700 sq.ft built up area ,[15000000],"{'value': 1700, 'unit': 'sq.ft'}"
"Kuvemunagar M block, Kuvempu Nagar 1st Stage, Kuvempunagar, Mysore",2 BHK Independent House,640 sq.ft built up area ,[4500000],"{'value': 640, 'unit': 'sq.ft'}"
"Gokulam 2nd Stage, Gokulam, Mysore",3 BHK Independent House,1350 sq.ft built up area ,[8000000],"{'value': 1350, 'unit': 'sq.ft'}"
"SBM layout, Bank Employees' Colony, Bogadi, Mysore",5 BHK Villa,3300 sq.ft built up area ,[14000000],"{'value': 3300, 'unit': 'sq.ft'}"
"9578 vijaynagar 4th stage, Vijay Nagar 3rd Stage, Vijayanagar, Mysore",2 BHK Independent House,900 sq.ft built up area ,[5000000],"{'value': 900, 'unit': 'sq.ft'}"
"Pratham Pooja, Vijayanagar 1st Stage, Vijayanagar, Mysore",3 BHK Apartment,1300 sq.ft built up area ,[4500000],"{'value': 1300, 'unit': 'sq.ft'}"
"Kuvempunagar, Mysore",3 BHK Independent House,1800 sq.ft built up area ,[18000000],"{'value': 1800, 'unit': 'sq.ft'}"
"Basavanahalli, Mysore",3 BHK Independent House,600 sq.ft built up area ,[5800000],"{'value': 600, 'unit': 'sq.ft'}"
"Vinayaka Enclaves, Vijayanagar 1st Stage, Vijayanagar, Mysore",2 BHK Independent House,1500 sq.ft built up area ,[6000000],"{'value': 1500, 'unit': 'sq.ft'}"
"Disha, Madagalli, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[10000000],"{'value': 2200, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[12800000],"{'value': 2200, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[6500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Sriramapura, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[7500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Kuvempu Nagar 1st Stage, Kuvempunagar, Mysore",3 BHK Independent House,5030 sq.ft built up area ,[16000000],"{'value': 5030, 'unit': 'sq.ft'}"
"Sriramapura, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4000000],"{'value': 600, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[7800000],"{'value': 1200, 'unit': 'sq.ft'}"
"Sriramapura, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[10000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Vijay multi selling and buying group , Block A, J P Nagar, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[14000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4500000],"{'value': 600, 'unit': 'sq.ft'}"
"Rohi builders , BEML Nagar, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[12800000],"{'value': 2200, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,1600 sq.ft built up area ,[12000000],"{'value': 1600, 'unit': 'sq.ft'}"
"Disha housing society, Bank Employees' Colony, Bogadi, Mysore",3 BHK Independent House,2200 sq.ft built up area ,[10000000],"{'value': 2200, 'unit': 'sq.ft'}"
"Ramkrishna Nagar , Ramakrishnanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4000000],"{'value': 600, 'unit': 'sq.ft'}"
"Duplex house, Sriramapura, Mysore",3 BHK Independent House,1200 sq.ft built up area ,[11500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Bogadi 2nd Stage, Bogadi, Mysore",3 BHK Independent House,1900 sq.ft built up area ,[8500000],"{'value': 1900, 'unit': 'sq.ft'}"
"JP Nagar , Siddalingeshwara Layout 1st Stage, J P Nagar, Mysore",3 BHK Independent House,750 sq.ft built up area ,[15000000],"{'value': 750, 'unit': 'sq.ft'}"
"individual house MUDA  property, Lakshmikanth Nagar, Hebbal 1st Stage, Mysore",2 BHK Independent House,600 sq.ft built up area ,[3000000],"{'value': 600, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[12500000],"{'value': 2400, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",3 BHK Independent House,1600 sq.ft built up area ,[14500000],"{'value': 1600, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",3 BHK Independent House,1600 sq.ft built up area ,[14500000],"{'value': 1600, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4300000],"{'value': 600, 'unit': 'sq.ft'}"
"Sriramapura, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[11000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Rajendra Nagar, Mysore",3 BHK Independent House,1220 sq.ft built up area ,[6500000],"{'value': 1220, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[7500000],"{'value': 1200, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[12000000],"{'value': 1200, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",Pathak Pratham Pinnacle,2 BHK Apartment,[3720000],"{'value': 1200, 'unit': 'sq.ft'}"
"Rahmania Mohalla, Mysore",Shubham Diwan’s,"2, 3 BHK Apartments","[4000000, 7200000]","{'value': 1000, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",Pramur Adonis,"2, 3, 4 BHK Apartment,Duplexes","[5446800, 12991400]","{'value': 1602, 'unit': 'sq.ft'}"
"Vontikoppal, Mysore",Manasa Palm Spring,"2, 3 BHK Apartments","[4152250, 5040500]","{'value': 977, 'unit': 'sq.ft'}"
"Lakshmipuram, Mysore",Manasa Subhindra,"2, 3, 3.5 BHK Apartments","[4611250, 6800000]","{'value': 1085, 'unit': 'sq.ft'}"
"Lalith Mahal Quatras, Mysore",Sankalp Luxuria,3 BHK Apartment,"[10965500, 16679000]","{'value': 1687, 'unit': 'sq.ft'}"
"Vani Vilas Mohalla, Mysore",Sankalp Sunshine,"2, 3 BHK Apartments",[],"{'value': 1148, 'unit': 'sq.ft'}"
"Karanji Layout, Mysore",Pathak Pratham Mahaveer,"2, 3 BHK Apartments","[3740000, 5440000]","{'value': 1100, 'unit': 'sq.ft'}"
"Bogadi, Gaddige Road, Mysore",Gagan Clear Waters,"2, 3 BHK Apartments","[3515000, 6227100]","{'value': 950, 'unit': 'sq.ft'}"
"Kuvempunagar, Mysore",Value VDB Mint,3 BHK Apartment,"[4155000, 4626000]","{'value': 1385, 'unit': 'sq.ft'}"
"Fort Mohalla, Mysore",Foundations Shankara,"1, 2 BHK Apartments",[],"{'value': 600, 'unit': 'sq.ft'}"
"Bannimantap, Mysore",Altair Grand View,"2, 3 BHK Apartments","[3135000, 5887200]","{'value': 950, 'unit': 'sq.ft'}"
"Vidayaranya Puram, Mysore",DS Max Smaran,2 BHK Apartment,"[2655000, 3738000]","{'value': 885, 'unit': 'sq.ft'}"
"Saraswathipuram, Mysore",Pathak Pratham Panchami,2 BHK Apartment,[],"{'value': 980, 'unit': 'sq.ft'}"
"Doora, Mysore",Unitech Palace Court,"4, 5 BHK Villas",[],"{'value': 1978, 'unit': 'sq.ft'}"
